ID,Name,JobClass,Level,Rarity,HP,MP,Attack,Defense,MagicPower,Speed,CritRate,CritDamage,Accuracy,Evasion,Skill1,Skill2,Skill3,Description
char_001,철검의 라이언,Warrior,1,Common,120,30,15,10,5,8,0.10,1.5,0.95,0.05,101,102,103,"검술에 능한 신참 전사. 고향을 지키기 위해 모험을 시작했다."
char_002,방패의 그레이스,Warrior,3,Uncommon,180,40,22,15,7,10,0.12,1.5,0.95,0.05,101,104,105,"방어와 공격의 균형을 추구하는 여전사. 동료를 지키는 것이 사명이다."
char_003,광전사 토르,Warrior,5,Rare,250,50,32,18,10,12,0.15,1.8,0.93,0.07,101,106,107,"전투의 열기에 휩싸이면 더욱 강해지는 광전사. 북방 출신의 용사."
char_004,검성 아서,Warrior,7,Epic,350,60,45,25,15,15,0.20,2.0,0.97,0.08,101,108,109,"전설의 검을 다루는 마스터. 수많은 전투에서 승리를 거둔 영웅."
char_005,불멸의 레오나르드,Warrior,10,Legendary,500,80,65,35,20,18,0.25,2.5,0.98,0.10,101,110,111,"죽음을 극복한 전설의 전사. 그의 검은 어떤 적도 베어낼 수 있다."
char_006,견습기사 폴,Knight,1,Common,150,25,12,18,5,6,0.05,1.3,0.90,0.03,201,202,203,"정의를 추구하는 신참 기사. 약자를 보호하는 것이 꿈이다."
char_007,성기사 헬레나,Knight,3,Uncommon,220,35,18,28,8,8,0.07,1.3,0.92,0.04,201,204,205,"신의 가호를 받은 성스러운 기사. 치유의 힘도 갖추고 있다."
char_008,철벽의 롤랜드,Knight,5,Rare,320,45,25,42,12,10,0.08,1.5,0.94,0.05,201,206,207,"난공불락의 방패술을 구사하는 기사. 어떤 공격도 막아낸다."
char_009,왕국기사단장 가웨인,Knight,7,Epic,450,55,35,60,18,12,0.10,1.7,0.96,0.06,201,208,209,"왕국 최고의 기사. 부하들에게 용기를 북돋우는 지휘관."
char_010,성검의 수호자 미카엘,Knight,10,Legendary,650,70,50,85,25,15,0.12,2.0,0.98,0.08,201,210,211,"신성한 검과 방패를 다루는 전설의 기사. 악을 정화하는 힘을 지녔다."
char_011,견습마법사 리나,Wizard,1,Common,80,60,8,5,20,9,0.15,1.8,0.90,0.10,301,302,303,"마법학교를 갓 졸업한 신참 마법사. 화염 마법에 재능이 있다."
char_012,원소술사 카일,Wizard,3,Uncommon,110,85,12,8,32,12,0.18,1.8,0.92,0.12,301,304,305,"4대 원소를 자유자재로 다루는 마법사. 균형잡힌 마법 실력을 보유."
char_013,빙결의 엘사,Wizard,5,Rare,150,120,18,12,48,15,0.20,2.0,0.94,0.15,301,306,307,"얼음 마법의 대가. 적을 얼려 움직임을 봉쇄하는 전술을 구사한다."
char_014,대마법사 멀린,Wizard,7,Epic,200,160,25,18,68,18,0.25,2.2,0.96,0.18,301,308,309,"고대 마법의 비밀을 아는 현자. 시공간을 조작하는 힘을 지녔다."
char_015,마도왕 솔로몬,Wizard,10,Legendary,280,220,35,25,95,22,0.30,2.5,0.98,0.20,301,310,311,"모든 마법의 정점에 선 존재. 그의 주문은 현실을 바꿀 수 있다."
char_016,수습사제 마리아,Priest,1,Common,90,50,6,8,18,7,0.05,1.2,0.92,0.08,401,402,403,"치유의 길을 걷기 시작한 사제. 따뜻한 마음을 가진 치유사."
char_017,빛의 사제 루시아,Priest,3,Uncommon,130,75,10,12,28,10,0.07,1.2,0.94,0.10,401,404,405,"신성한 빛으로 동료를 치유하고 언데드를 정화하는 사제."
char_018,대사제 베네딕트,Priest,5,Rare,180,110,15,18,42,12,0.08,1.3,0.95,0.12,401,406,407,"깊은 신앙심으로 기적을 행하는 대사제. 죽은 자도 되살릴 수 있다."
char_019,성녀 잔다르크,Priest,7,Epic,250,150,22,25,60,15,0.10,1.5,0.97,0.15,401,408,409,"신의 계시를 받은 성녀. 전투와 치유를 동시에 수행할 수 있다."
char_020,대천사의 화신 가브리엘,Priest,10,Legendary,350,200,30,35,85,18,0.12,1.8,0.99,0.18,401,410,411,"천상의 힘을 지상에 구현하는 존재. 모든 상처와 저주를 치유한다."
char_021,그림자 신참 카이,Assassin,1,Common,85,35,18,6,8,15,0.25,2.0,0.85,0.20,501,502,503,"어둠 속에서 훈련받은 신참 암살자. 빠른 몸놀림이 특기."
char_022,독칼의 나타샤,Assassin,3,Uncommon,120,50,28,10,12,20,0.30,2.0,0.87,0.25,501,504,505,"독을 다루는 여성 암살자. 적을 서서히 약화시키는 전술을 구사."
char_023,그림자 무희 아키라,Assassin,5,Rare,165,70,42,15,18,26,0.35,2.2,0.90,0.30,501,506,507,"동방의 암살술을 익힌 자객. 분신술로 적을 교란시킨다."
