dialogueId,chapterId,nodeId,speaker,dialogueText,emotion,voiceEffect,choices
dialogue_001,chapter_1_1,intro_1,아서 레오하트,"...또 하나의 마을이 연락 두절됐군. 이 혹한은 몬스터뿐만 아니라 우리의 희망마저 얼어붙게 만드는구나.",슬픔,한숨,
dialogue_002,chapter_1_1,intro_2,엘리아스 밴스,"마스터, 감상은 잠시 접어두시죠. 중요한 건 데이터입니다. 몬스터들의 공격 패턴이 조직적으로 변하고 있습니다.",냉정,단호함,
dialogue_003,chapter_1_1,intro_3,엘리아스 밴스,"마치 배후에 지능을 가진 존재가 있는 것처럼. 더 강력한 방벽과 자동화된 방어 포탑 증설이 시급합니다.",우려,강조,
dialogue_004,chapter_1_1,scout_report_1,정찰대원,"마스터! 북쪽의 '잿빛 산맥'에서... 말하는 오우거들을 만났습니다!",놀람,헐떡임,
dialogue_005,chapter_1_1,scout_report_2,정찰대원,"그들은... 저희를 공격하지 않았습니다. 오히려... 도움을 청했습니다!",혼란,떨림,
dialogue_006,chapter_1_1,scout_report_3,엘리아스 밴스,"말도 안 돼. 오우거는 멍청하고 포악한 몬스터일 뿐이다. 함정이겠지.",불신,코웃음,
dialogue_007,chapter_1_1,scout_report_4,아서 레오하트,"...자세히 말해보게.",진지함,낮은 목소리,
dialogue_008,chapter_1_1,scout_report_5,정찰대원,"그들 역시 '통곡의 겨울'의 피해자였습니다. 자신들의 사냥터는 얼어붙었고, 더 포악한 '서리 비룡' 떼에게 쫓겨 살 곳을 잃었다고 했습니다.",설명,차분함,
dialogue_009,chapter_1_1,scout_report_6,정찰대원,"그들의 지도자인 '그라크'라는 늙은 오우거는... 그저 자신들의 부족이 남쪽의 따뜻한 땅으로 지나갈 수 있도록 길을 열어달라고 간청했습니다.",연민,목멘 소리,
dialogue_010,chapter_1_2,council_1,시 의원 1,"미쳤소, 아서 경! 저 괴물들을 우리 집 문 앞까지 끌어들이자는 말이오? 내 아들이 저런 놈들에게 죽었소!",분노,고함,
dialogue_011,chapter_1_2,council_2,엘리아스 밴스,"통계적으로도 불가능한 제안입니다. 오우거들의 식량 요구량, 이동 속도, 그리고 잠재적 적대 행위 가능성을 고려했을 때, 위험 부담이 97.4%에 달합니다.",논리적,차가움,
dialogue_012,chapter_1_2,council_3,엘리아스 밴스,"그들의 말이 사실이라 해도, 굶주린 괴물은 결국 괴물일 뿐입니다.",단정적,강조,
dialogue_013,chapter_1_2,council_4,아서 레오하트,"그렇다면 묻겠소. 우리가 그들과 다른 점이 무엇이오?",진지한 질문,조용함,
dialogue_014,chapter_1_2,council_5,아서 레오하트,"우리 역시 생존을 위해 벽을 쌓고, 벽 밖에 있는 모든 것을 적으로 돌리고 있소. 만약 저들이 우리처럼 생각하고, 우리처럼 두려워하고, 우리처럼 자식을 걱정한다면...",설득,열정적,
dialogue_015,chapter_1_2,council_6,아서 레오하트,"그때도 그들은 그저 '괴물'일 뿐이오?",반문,힘있게,
dialogue_016,chapter_1_3,meeting_1,그라크,"...인간의 우두머리. 정말... 왔군.",놀람,거친 숨소리,
dialogue_017,chapter_1_3,meeting_2,아서 레오하트,"대화에는 무기가 필요 없다고 들었소. 이건 우리 길드가 주는 작은 성의라오.",친근함,온화함,
