characterId,characterName,age,gender,role,description,personality,voiceType,firstAppearance
arthur_leohart,아서 레오하트,62,남,개척자 길드 마스터,"카인의 할아버지. 백전노장의 지혜와 따뜻한 인간미를 갖춘 지도자. 신념: 벽은 우리를 지켜주지만, 진정한 힘은 벽 너머로 내미는 손에서 나온다.","온화하고 포용적인 리더. 원칙과 유연함을 겸비. 강인하면서도 자애로움.","중후한 중년 남성",chapter_1_1
elias_vance,엘리아스 밴스,35,남,길드 수석 기술자,"전쟁으로 가족을 잃은 천재 기술자. 오직 기술과 효율만이 인간을 구원할 수 있다고 믿는 현실주의자.","냉철하고 논리적. 감정보다 데이터를 신뢰. 후에 마음의 중요성을 깨닫고 변화.","차가운 지성형",chapter_1_1
grak,그라크,늙음,남,오우거 족장,"말하는 오우거들의 지도자. 자신의 부족을 지키려는 늙은 전사. 거칠지만 자식들을 위해 희생할 줄 아는 아버지.","과묵하고 위엄있음. 거친 외모와 달리 섬세한 마음. 명예를 중시.","낮고 거친 목소리",chapter_1_2
richard_leohart,리처드 레오하트,성인,남,2대 길드 마스터,"아서의 아들. 평화 속에서 자란 학자이자 외교관. 아버지의 그림자에서 고뇌하는 지도자.","사려깊고 신중함. 이성적이지만 때로 우유부단. 성장형 리더십.","부드러운 지성형",chapter_2_1
kael,카엘,청년,남,2대 오우거 족장,"그라크의 아들. 평화를 당연시하는 일부 인간들에게 상처받으며 종족 간 평화에 의문을 품음.","열정적이고 직선적. 아버지보다 감정적. 충성심이 강함.","젊고 힘찬 목소리",chapter_2_1
gideon_valerius,기드온 발레리우스,젊음,남,라이라 왕국 기사단장,"인간 우월주의를 신봉하는 카리스마 넘치는 기사. 자신의 신념에 한 치의 의심도 없음.","자신감 넘침. 예의바르지만 오만함. 순수한 악이 아닌 신념의 대립자.","날카롭고 단호한",chapter_2_2
kain_leohart,카인 레오하트,유아→청년,남,주인공(3대),"리처드의 아들. 할아버지와 아버지의 유산을 이어받아 새로운 시대를 열어갈 운명의 아이.","(성장 후) 결단력과 포용력을 겸비. 선조들의 장점을 모두 계승.","청년의 희망찬 목소리",epilogue
merchant_leader,떠돌이 상인,중년,남,정보 제공자,"각지를 떠도는 상인. 세계 정세에 밝고 실리적이지만 의외로 정이 많음.","능글맞고 실리적. 하지만 위기엔 의리를 지킴.","경쾌한 중년",side_story
elena_frost,엘레나 프로스트,젊음,여,마법사 조합 대표,"에델가르드의 마법사 조합을 이끄는 냉철한 여성. 엘리아스와 대립하지만 존중하는 관계.","이성적이고 냉정함. 책임감이 강하고 신념이 확고함.","차분한 여성",chapter_1_3
gruk_son,그루크,어린이,남,오우거 아이,"그라크의 막내아들. 아서에게 반짝이는 돌멩이를 선물한 순수한 아이.","순수하고 호기심 많음. 종족의 벽을 모르는 천진함.","어린아이",chapter_1_4
