ID,CharacterName,DialogueText,Position,Expression,Effect,Duration,NextID,Background,BGM,SFX
100,내레이터,100년 전 대륙은 '피의 안개'가 아닌 '통곡의 겨울'이라 불리는 재앙에 신음하고 있었다. 수십 년간 이어진 기나긴 겨울은 대지를 얼어붙게 하고 숲의 짐승들을 굶주린 괴물로 만들었다.,Center,,,5,101,눈보라_대륙,ominous_winter,wind
101,내레이터,이 암흑기 속에서 대륙 북부의 가장 위대한 도시 '에델가르드'는 문명의 마지막 보루로 빛나고 있었다. 그리고 그 도시의 심장에는 모든 개척자와 기술자 그리고 모험가들의 연합인 '개척자 길드(Pioneer's Guild)'가 있었다.,Center,,,5,102,에델가르드_전경,heroic_city,
102,내레이터,길드의 마스터는 바로 아서 레오하트. 훗날 영웅으로 불리게 될 카인의 할아버지였다.,Center,,,3,103,길드홀,character_intro,
103,펜드렐,마스터! 북쪽의 '잿빛 산맥'에서... 말하는 오우거들을 만났습니다! 그들은... 저희를 공격하지 않았습니다. 오히려... 도움을 청했습니다!,Left,shocked,shake,4,104,길드사무실,shocking_news,gasp
104,엘리아스 밴스,예상했던 결과입니다. 잿빛 산맥 정찰 임무의 생존 확률은 17.3%에 불과했으니까요. 그래서 몬스터의 새로운 거점이라도 발견했나?,Left,cold,,3,105,길드사무실,tension,
105,펜드렐,(아서를 붙잡고 믿을 수 없다는 듯) 아닙니다 마스터! 그들은... 저희를 공격하지 않았습니다! 오히려... 그들이... ...도움을 청했습니다!,Left,desperate,shake,4,106,길드사무실,revelation,
106,아서 레오하트,(혼잣말처럼) 벽 너머로... 내밀어야 할 손인가... 아니면 우리를 물어뜯을 짐승의 아가리인가...,Right,contemplative,,3,107,길드사무실,decision_moment,
107,아서 레오하트,(한 걸음 앞으로 나서며) 대화에는 무기가 필요 없다고 들었소. 이건 우리 길드가 주는 작은 성의라오.,Right,brave,,3,108,잿빛산맥,peaceful_approach,footsteps
108,젊은 오우거,(으르렁거리며 앞으로 나서려 한다),Left,hungry,shake,2,109,잿빛산맥,tension,growl
109,그라크,(지팡이로 땅을 '쿵!'하고 내리친다),Left,commanding,slam,2,110,잿빛산맥,authority,thud
110,아서 레오하트,(비명을 지른다) 그라크!!!,Right,anguished,zoom,2,111,최종전투,tragic_loss,scream
